==== LOG START ====
[1763917956725 ms] POS 50.000 50.000
[1763917956726 ms] VEL 0.000 0.000
[1763917956748 ms] POS 50.000 50.000
[1763917956749 ms] VEL 0.000 0.000
[1763917956770 ms] POS 50.000 50.000
[1763917956771 ms] VEL 0.000 0.000
[1763917956792 ms] POS 50.000 50.000
[1763917956793 ms] VEL 0.000 0.000
[1763917956814 ms] POS 50.000 50.000
[1763917956817 ms] VEL 0.000 0.000
[1763917956839 ms] POS 50.000 50.000
[1763917956841 ms] VEL 0.000 0.000
[1763917956863 ms] POS 50.000 50.000
[1763917956867 ms] VEL 0.000 0.000
[1763917956891 ms] POS 50.000 50.000
[1763917956894 ms] VEL 0.000 0.000
[1763917956915 ms] POS 50.000 50.000
[1763917956916 ms] VEL 0.000 0.000
[1763917956936 ms] POS 50.000 50.000
[1763917956937 ms] VEL 0.000 0.000
[1763917956959 ms] POS 50.000 50.000
[1763917956959 ms] VEL 0.000 0.000
[1763917956980 ms] POS 50.000 50.000
[1763917956982 ms] VEL 0.000 0.000
[1763917957005 ms] POS 50.000 50.000
[1763917957018 ms] VEL 0.000 0.000
[1763917957040 ms] POS 50.000 50.000
[1763917957041 ms] VEL 0.000 0.000
[1763917957061 ms] POS 50.000 50.000
[1763917957062 ms] VEL 0.000 0.000
[1763917957082 ms] POS 50.000 50.000
[1763917957083 ms] VEL 0.000 0.000
[1763917957104 ms] POS 50.000 50.000
[1763917957104 ms] VEL 0.000 0.000
[1763917957125 ms] POS 50.000 50.000
[1763917957125 ms] VEL 0.000 0.000
[1763917957146 ms] POS 50.000 50.000
[1763917957147 ms] VEL 0.000 0.000
[1763917957167 ms] POS 50.000 50.000
[1763917957168 ms] VEL 0.000 0.000
[1763917957189 ms] POS 50.000 50.000
[1763917957190 ms] VEL 0.000 0.000
[1763917957211 ms] POS 50.000 50.000
[1763917957212 ms] VEL 0.000 0.000
[1763917957233 ms] POS 50.000 50.000
[1763917957233 ms] VEL 0.000 0.000
[1763917957255 ms] POS 50.000 50.000
[1763917957255 ms] VEL 0.000 0.000
[1763917957276 ms] POS 50.000 50.000
[1763917957276 ms] VEL 0.000 0.000
[1763917957297 ms] POS 50.000 50.000
[1763917957297 ms] VEL 0.000 0.000
[1763917957319 ms] POS 50.000 50.000
[1763917957319 ms] VEL 0.000 0.000
[1763917957340 ms] POS 50.000 50.000
[1763917957341 ms] VEL 0.000 0.000
[1763917957362 ms] POS 50.000 50.000
[1763917957363 ms] VEL 0.000 0.000
[1763917957384 ms] POS 50.000 50.000
[1763917957388 ms] VEL 0.000 0.000
[1763917957411 ms] POS 50.000 50.000
[1763917957411 ms] VEL 0.000 0.000
[1763917957432 ms] POS 50.000 50.000
[1763917957433 ms] VEL 0.000 0.000
[1763917957455 ms] POS 50.000 50.000
[1763917957455 ms] VEL 0.000 0.000
[1763917957476 ms] POS 50.000 50.000
[1763917957476 ms] VEL 0.000 0.000
[1763917957497 ms] POS 50.000 50.000
[1763917957498 ms] VEL 0.000 0.000
[1763917957519 ms] POS 50.000 50.000
[1763917957519 ms] VEL 0.000 0.000
[1763917957540 ms] POS 50.000 50.000
[1763917957540 ms] VEL 0.000 0.000
[1763917957561 ms] POS 50.000 50.000
[1763917957562 ms] VEL 0.000 0.000
[1763917957583 ms] POS 50.000 50.000
[1763917957584 ms] VEL 0.000 0.000
[1763917957605 ms] POS 50.000 50.000
[1763917957608 ms] VEL 0.000 0.000
[1763917957632 ms] POS 50.000 50.000
[1763917957647 ms] VEL 0.000 0.000
[1763917957677 ms] POS 50.000 50.000
[1763917957686 ms] VEL 0.000 0.000
[1763917957712 ms] POS 50.000 50.000
[1763917957714 ms] VEL 0.000 0.000
[1763917957736 ms] POS 50.000 50.000
[1763917957737 ms] VEL 0.000 0.000
[1763917957759 ms] POS 50.000 50.000
[1763917957760 ms] VEL 0.000 0.000
[1763917957781 ms] POS 50.000 50.000
[1763917957782 ms] VEL 0.000 0.000
[1763917957804 ms] POS 50.000 50.000
[1763917957807 ms] VEL 0.000 0.000
[1763917957828 ms] POS 50.000 50.000
[1763917957831 ms] VEL 0.000 0.000
[1763917957852 ms] POS 50.000 50.000
[1763917957853 ms] VEL 0.000 0.000
[1763917957874 ms] POS 50.000 50.000
[1763917957876 ms] VEL 0.000 0.000
[1763917957898 ms] POS 50.000 50.000
[1763917957901 ms] VEL 0.000 0.000
[1763917957925 ms] POS 50.000 50.000
[1763917957927 ms] VEL 0.000 0.000
[1763917957953 ms] POS 50.000 50.000
[1763917957955 ms] VEL 0.000 0.000
[1763917957979 ms] POS 50.000 50.000
[1763917957979 ms] VEL 0.000 0.000
[1763917958000 ms] POS 50.000 50.000
[1763917958001 ms] VEL 0.000 0.000
[1763917958022 ms] POS 50.000 50.000
[1763917958023 ms] VEL 0.000 0.000
[1763917958044 ms] POS 50.000 50.000
[1763917958047 ms] VEL 0.000 0.000
[1763917958068 ms] POS 50.000 50.000
[1763917958069 ms] VEL 0.000 0.000
[1763917958090 ms] POS 50.000 50.000
[1763917958090 ms] VEL 0.000 0.000
[1763917958111 ms] POS 50.000 50.000
[1763917958112 ms] VEL 0.000 0.000
[1763917958133 ms] POS 50.000 50.000
[1763917958139 ms] VEL 0.000 0.000
[1763917958161 ms] POS 50.000 50.000
[1763917958162 ms] VEL 0.000 0.000
[1763917958184 ms] POS 50.000 50.000
[1763917958185 ms] VEL 0.000 0.000
[1763917958207 ms] POS 50.000 50.000
[1763917958208 ms] VEL 0.000 0.000
[1763917958229 ms] POS 50.000 50.000
[1763917958231 ms] VEL 0.000 0.000
[1763917958252 ms] POS 50.000 50.000
[1763917958253 ms] VEL 0.000 0.000
[1763917958274 ms] POS 50.000 50.000
[1763917958276 ms] VEL 0.000 0.000
[1763917958297 ms] POS 50.000 50.000
[1763917958298 ms] VEL 0.000 0.000
[1763917958319 ms] POS 50.000 50.000
[1763917958321 ms] VEL 0.000 0.000
[1763917958342 ms] POS 50.000 50.000
[1763917958344 ms] VEL 0.000 0.000
[1763917958370 ms] POS 50.000 50.000
[1763917958371 ms] VEL 0.000 0.000
[1763917958393 ms] POS 50.000 50.000
[1763917958395 ms] VEL 0.000 0.000
[1763917958417 ms] POS 50.000 50.000
[1763917958418 ms] VEL 0.000 0.000
[1763917958439 ms] POS 50.000 50.000
[1763917958441 ms] VEL 0.000 0.000
[1763917958464 ms] POS 50.000 50.000
[1763917958465 ms] VEL 0.000 0.000
[1763917958488 ms] POS 50.000 50.000
[1763917958489 ms] VEL 0.000 0.000
[1763917958512 ms] POS 50.000 50.000
[1763917958514 ms] VEL 0.000 0.000
[1763917958538 ms] POS 50.000 50.000
[1763917958540 ms] VEL 0.000 0.000
[1763917958564 ms] POS 50.000 50.000
[1763917958564 ms] VEL 0.000 0.000
[1763917958587 ms] POS 50.000 50.000
[1763917958587 ms] VEL 0.000 0.000
[1763917958609 ms] POS 50.000 50.000
[1763917958611 ms] VEL 0.000 0.000
[1763917958633 ms] POS 50.000 50.000
[1763917958634 ms] VEL 0.000 0.000
[1763917958655 ms] POS 50.000 50.000
[1763917958656 ms] VEL 0.000 0.000
[1763917958678 ms] POS 50.000 50.000
[1763917958679 ms] VEL 0.000 0.000
[1763917958700 ms] POS 50.000 50.000
[1763917958701 ms] VEL 0.000 0.000
[1763917958722 ms] POS 50.000 50.000
[1763917958730 ms] VEL 0.000 0.000
[1763917958757 ms] POS 50.000 50.000
[1763917958761 ms] VEL 0.000 0.000
[1763917958784 ms] POS 50.000 50.000
[1763917958791 ms] VEL 0.000 0.000
[1763917958819 ms] POS 50.000 50.000
[1763917958820 ms] VEL 0.000 0.000
[1763917958842 ms] POS 50.000 50.000
[1763917958843 ms] VEL 0.000 0.000
[1763917958864 ms] POS 50.000 50.000
[1763917958865 ms] VEL 0.000 0.000
[1763917958886 ms] POS 50.000 50.000
[1763917958887 ms] VEL 0.000 0.000
[1763917958908 ms] POS 50.000 50.000
[1763917958909 ms] VEL 0.000 0.000
[1763917958930 ms] POS 50.000 50.000
[1763917958931 ms] VEL 0.000 0.000
[1763917958952 ms] POS 50.000 50.000
[1763917958954 ms] VEL 0.000 0.000
[1763917958976 ms] POS 50.000 50.000
[1763917958978 ms] VEL 0.000 0.000
[1763917959000 ms] POS 50.000 50.000
[1763917959002 ms] VEL 0.000 0.000
[1763917959024 ms] POS 50.000 50.000
[1763917959024 ms] VEL 0.000 0.000
[1763917959048 ms] POS 50.000 50.000
[1763917959052 ms] VEL 0.000 0.000
[1763917959076 ms] POS 50.000 50.000
[1763917959077 ms] VEL 0.000 0.000
[1763917959098 ms] POS 50.000 50.000
[1763917959099 ms] VEL 0.000 0.000
[1763917959120 ms] POS 50.000 50.000
[1763917959122 ms] VEL 0.000 0.000
[1763917959144 ms] POS 50.000 50.000
[1763917959148 ms] VEL 0.000 0.000
[1763917959172 ms] POS 50.000 50.000
[1763917959176 ms] VEL 0.000 0.000
[1763917959198 ms] POS 50.000 50.000
[1763917959198 ms] VEL 0.000 0.000
[1763917959220 ms] POS 50.000 50.000
[1763917959220 ms] VEL 0.000 0.000
[1763917959242 ms] POS 50.000 50.000
[1763917959242 ms] VEL 0.000 0.000
[1763917959264 ms] POS 50.000 50.000
[1763917959264 ms] VEL 0.000 0.000
[1763917959286 ms] POS 50.000 50.000
[1763917959287 ms] VEL 0.000 0.000
[1763917959308 ms] POS 50.000 50.000
